p401,net_tfa,age,inc,fsize,educ,pira
1,21419.66,30,38329.92,5,12,0
1,58016.69,38,25979.0,3,16,1
0,23529.59,42,32479.64,4,12,0
1,36821.46,39,38410.74,5,15,1
0,34543.4,43,32214.52,1,9,1
1,53837.4,61,30030.21,5,10,0
1,52428.7,50,28664.74,5,11,0
1,45331.81,63,123323.63,4,12,0
1,47302.68,54,32102.31,2,13,0
0,43218.98,36,57152.3,2,14,0
0,32245.84,29,38042.05,4,16,1
1,43029.2,45,6294.84,3,15,1
1,74893.56,63,236323.36,1,13,0
1,33430.35,27,36346.64,5,9,0
1,35657.31,34,26082.71,2,15,1
0,43619.62,40,79946.37,1,17,0
1,47584.68,37,88506.81,4,12,0
0,17949.86,28,25792.36,2,8,0
0,22530.13,63,22043.61,1,8,0
0,13068.93,27,21335.04,3,10,1
1,35821.64,60,44797.11,2,12,0
1,52441.02,64,40052.89,5,14,1
1,29179.41,49,58129.84,2,8,0
0,30139.07,62,33917.21,1,11,0
1,44878.62,55,26702.38,1,16,0
0,14352.19,30,39008.47,3,12,0
1,44559.4,45,25774.98,4,15,0
1,44146.7,40,53960.07,3,13,0
0,16391.91,49,46635.31,5,9,0
0,28480.98,50,50700.28,3,11,0
1,52193.39,46,47638.07,1,17,1
1,68044.21,50,28238.14,3,15,0
1,41874.9,61,12915.16,2,9,0
1,39630.27,27,77678.48,4,11,1
1,49585.72,54,69629.44,3,14,1
0,27019.08,42,23243.51,2,8,1
1,33843.78,45,62288.35,3,8,1
1,41537.51,45,39857.63,4,10,1
0,43817.53,52,34752.29,3,10,0
1,45288.88,52,36172.19,5,12,0
0,26319.98,40,22060.14,4,12,0
0,25396.57,59,33573.0,4,10,0
0,29741.15,39,37468.71,2,16,1
1,45062.07,47,41020.18,2,14,1
0,19729.08,58,24940.38,5,8,1
1,15630.2,25,45693.71,3,11,1
1,31369.81,47,25602.25,4,11,1
0,22758.03,61,26827.68,2,9,0
1,48726.03,61,38084.63,1,12,1
1,33154.44,25,27502.71,4,10,0
0,41164.41,39,19526.52,2,14,0
1,49326.28,53,26420.29,5,11,0
1,65043.32,60,23816.24,3,17,0
1,44008.28,56,39174.99,5,12,0
0,49779.43,27,54345.26,2,10,1
1,41916.5,32,51439.89,1,13,0
0,22078.31,27,24205.22,2,10,0
0,41745.91,64,29193.21,3,9,0
1,34786.71,53,42478.55,2,10,0
0,17453.05,57,13682.08,2,9,0
0,33739.35,62,60415.71,5,12,0
1,40584.61,51,75171.54,1,8,0
1,34875.08,59,54683.9,5,15,0
0,18708.93,44,9751.56,3,10,0
0,22686.15,27,42372.85,2,10,1
1,34828.05,60,11874.53,1,8,0
1,40481.76,62,62868.86,1,12,0
1,42337.06,54,9774.9,1,9,1
0,27728.36,42,15388.56,1,9,0
0,29733.03,58,44696.88,5,8,0
0,21352.54,50,15280.75,5,9,0
1,49435.66,61,6872.29,2,10,0
0,39397.91,51,18734.64,2,16,0
0,62493.91,61,46886.19,2,15,0
0,17190.97,31,17656.11,1,9,0
1,49476.42,38,18586.57,4,12,1
0,48422.11,62,39894.83,3,16,0
1,56298.38,44,35880.06,2,15,0
0,39708.05,34,75822.22,4,14,1
0,27013.62,27,60089.48,2,9,0
1,53264.27,61,29337.49,1,14,0
0,48413.17,56,23428.66,1,13,0
1,54297.24,53,68606.88,1,17,1
0,30116.73,49,23872.4,2,15,0
0,34627.48,62,18579.53,4,15,1
1,35796.91,33,47519.89,2,10,0
0,57068.51,59,24967.91,1,17,0
1,43277.31,59,14132.15,1,11,0
0,15384.71,27,52043.92,5,13,0
1,47768.89,56,61863.78,1,8,0
1,57951.46,37,17463.72,4,16,1
0,30564.26,25,28846.67,2,9,0
0,18684.29,30,27039.16,3,11,0
0,33586.17,29,32650.5,3,14,1
0,45499.37,46,27562.84,4,8,0
0,23123.51,41,14566.89,5,8,0
1,29156.97,64,36838.92,5,9,0
0,47185.65,60,29548.22,2,8,0
0,44264.81,31,39167.91,3,16,1
1,31238.89,29,53880.48,4,9,1
0,56886.4,46,59068.41,4,15,0
0,41046.68,38,46773.47,5,15,0
0,35489.21,58,7440.67,5,11,0
1,37568.64,58,19417.87,2,16,0
0,25856.67,35,38194.64,4,8,0
0,34140.18,51,59405.0,4,12,0
0,35870.47,58,19487.52,5,15,1
0,53606.69,40,22600.53,1,16,0
0,34640.53,36,102447.28,1,11,0
0,23556.93,53,7800.91,4,11,0
0,9790.74,30,29605.41,2,8,0
1,55751.24,46,24089.91,4,15,0
0,21368.15,40,28255.35,1,9,0
0,39076.11,54,29127.6,5,13,0
0,17498.8,50,53314.3,5,10,0
1,53707.39,44,64341.84,4,16,0
1,58126.46,57,231850.41,1,11,0
0,44607.74,36,106849.47,4,14,0
0,42316.69,46,35089.51,2,14,1
0,31312.97,38,42381.98,5,11,1
0,39164.73,36,68657.83,4,13,0
1,47729.61,47,182142.41,5,12,0
1,38762.4,58,32658.99,1,12,0
0,18416.39,26,46513.65,2,8,0
1,17962.88,64,32747.84,4,9,1
0,30149.12,29,74864.15,2,12,0
0,33147.38,46,16105.54,5,14,1
1,35323.92,61,39910.1,4,10,1
0,45716.65,57,16441.41,5,17,0
1,62471.44,64,43155.13,2,14,0
0,39424.77,63,59282.37,3,8,0
1,38378.63,49,28748.17,5,8,0
1,54434.27,64,31803.32,3,17,1
1,34161.3,36,72582.36,3,17,0
0,22934.91,45,34318.18,3,13,0
1,49175.21,55,51398.68,1,15,0
0,35001.36,52,31664.25,1,13,0
0,41210.86,25,20873.03,1,15,0
0,40905.61,51,28475.88,5,15,0
0,31838.29,36,129646.9,4,9,0
1,30841.89,35,30877.7,3,9,1
1,31946.33,59,37919.65,4,11,0
1,44835.53,38,75578.49,1,8,0
1,29878.28,43,45922.11,4,10,0
0,48269.82,50,50814.97,1,17,0
1,62837.42,46,146407.72,3,15,0
1,64573.83,58,64098.66,3,12,0
0,41151.82,32,22621.9,3,17,0
0,33592.49,46,55490.28,4,10,0
1,46781.15,46,25721.49,3,9,1
0,34708.22,32,29828.4,5,17,0
0,36237.37,26,70082.34,2,14,0
0,25268.42,51,38279.54,4,13,0
1,47716.95,58,30803.85,3,14,0
0,29536.85,46,26133.45,3,15,0
1,54881.79,51,40051.22,4,16,1
0,57258.64,58,31171.27,4,16,1
0,36460.38,43,65857.37,4,11,0
0,25499.48,57,41461.95,1,9,1
0,39709.28,56,33428.64,3,17,1
1,84998.97,41,234356.31,5,17,0
0,38766.77,50,44476.62,4,9,0
1,56391.93,50,23737.27,2,15,0
0,29925.35,42,17382.38,4,17,0
0,29785.25,55,18554.34,3,12,0
0,27454.96,54,16058.57,3,13,0
1,25607.17,54,34613.34,3,11,1
0,35772.85,25,35913.81,3,11,0
1,45475.82,37,52246.14,5,13,0
0,41621.16,52,19853.53,3,15,0
0,14680.2,28,27468.23,4,8,0
0,53064.81,59,25723.44,4,14,0
1,44213.85,59,98004.2,4,14,0
0,30191.68,35,39634.6,4,12,0
1,42617.17,58,47423.26,5,9,0
1,52648.7,64,71138.81,1,12,0
1,41459.93,41,41788.13,5,9,0
1,57572.31,46,35125.39,2,17,0
1,43308.94,62,28083.96,5,14,1
1,42186.01,28,30521.99,3,17,0
0,26297.86,45,35579.5,5,10,1
1,40540.15,60,31577.11,5,8,0
0,32491.64,45,31672.35,2,13,0
0,39707.23,46,114363.41,3,16,1
0,37098.51,35,16356.17,4,16,0
1,62998.76,64,10567.51,2,13,0
1,23432.55,29,45694.79,5,9,0
1,33261.79,41,83236.45,4,8,0
0,20189.18,35,30995.15,5,11,1
0,15152.57,30,60181.23,3,12,0
1,50927.0,57,98463.06,4,15,0
0,26701.32,26,31755.41,1,8,1
0,37041.76,30,41451.62,2,16,0
0,25352.43,47,22293.06,1,10,0
1,40902.35,36,24906.83,5,14,0
0,34935.34,30,28672.29,4,17,0
0,33752.94,27,56721.74,2,9,0
1,50529.13,27,89257.93,5,15,1
1,59147.8,57,55269.62,3,12,0
1,44959.2,49,21766.41,4,10,1
0,50088.92,60,22892.86,3,16,1
0,41283.82,42,29365.24,5,17,0
0,35670.17,47,36882.74,1,15,0
0,29742.39,38,52140.65,3,9,0
0,21096.59,29,14962.57,1,9,1
1,43366.14,33,19572.81,1,13,0
0,49383.72,28,107515.34,4,17,0
0,37794.58,58,48815.39,5,12,1
0,28921.09,31,47409.88,3,14,1
0,22213.62,42,15979.25,1,8,0
0,24096.94,40,68521.5,5,10,0
0,32697.23,55,51350.05,3,13,0
0,35539.5,46,15415.79,3,16,0
0,22304.92,45,17703.85,5,8,0
1,44090.78,64,54327.26,4,8,0
1,40895.53,39,16867.43,1,9,1
1,58946.17,63,53322.64,4,13,1
1,40482.13,37,26939.53,5,13,0
0,39735.58,53,55486.42,4,15,1
0,62781.39,64,64414.73,4,17,0
1,47260.45,64,113443.55,2,11,0
0,21716.43,54,12892.51,2,10,0
0,29167.42,39,15414.21,1,15,0
0,48707.38,45,34877.09,1,14,1
0,41522.08,30,102570.91,3,14,0
1,52233.01,46,50503.11,1,12,1
0,15636.85,38,16411.04,3,11,1
1,51028.65,57,64117.58,3,11,0
0,43596.59,54,35416.82,2,13,1
1,51507.31,58,80432.18,4,15,0
0,47018.78,58,18456.62,4,14,0
0,43196.45,43,64711.29,5,12,0
1,44124.92,32,85299.63,5,17,0
0,30163.16,37,20441.83,4,8,0
0,47309.56,45,40421.06,2,15,0
0,47279.44,60,48550.85,2,16,0
1,39802.66,54,41979.18,3,11,0
0,17633.02,59,22077.41,5,10,1
0,51726.5,42,68405.45,1,16,0
0,27404.45,34,21468.05,5,9,0
0,44605.36,61,39249.69,2,12,0
1,45981.27,39,50100.33,4,11,1
1,25914.95,33,46335.59,2,9,0
0,31804.76,38,53340.94,2,16,1
0,23217.26,38,12471.91,2,8,0
0,28327.37,48,9458.83,5,15,0
0,37317.68,48,42486.98,1,12,0
1,46444.85,34,45423.37,4,16,0
0,18064.66,28,85906.66,3,13,0
0,35156.13,41,32233.07,4,10,0
0,29439.03,43,33489.91,2,8,1
0,36845.62,38,15026.81,2,11,1
1,45270.45,41,46820.57,3,14,0
1,31328.66,34,87291.47,2,11,0
0,25794.36,38,29015.89,4,14,0
1,28621.25,27,48768.33,3,14,1
0,45351.96,34,75378.11,2,16,0
0,46596.2,59,75180.66,5,8,0
1,31341.94,45,64816.61,4,8,1
0,35963.34,32,68439.15,5,11,0
0,25794.08,50,4867.54,3,13,0
0,28735.72,43,12022.55,5,17,0
1,28561.0,29,46144.08,5,11,0
0,34039.62,54,13426.53,1,15,0
1,44450.2,39,66301.56,4,16,1
0,51472.36,47,26143.21,2,12,1
0,14442.21,61,14385.98,4,10,0
1,39528.1,48,62516.49,1,10,1
1,43863.73,46,25025.31,1,12,0
0,41120.59,64,20474.13,3,16,1
1,28580.72,36,57752.78,2,10,0
1,52265.2,49,32288.82,3,14,0
0,42037.13,51,17866.72,2,12,0
0,40971.21,56,19148.38,5,16,0
1,37968.68,41,13720.4,1,13,0
1,51121.66,43,97559.75,3,17,0
1,43106.92,58,80876.1,2,11,0
0,11405.66,25,37588.12,5,9,0
0,28652.6,25,24227.26,3,14,0
1,42187.32,62,48860.49,1,11,0
1,51984.06,51,32395.1,5,12,0
0,26623.45,38,58595.29,1,8,0
0,26989.84,52,53311.78,4,10,0
1,55172.5,43,37821.64,3,16,1
0,31619.89,33,30938.27,3,12,0
0,23260.24,44,52480.89,3,16,0
1,41647.58,38,36575.66,5,16,0
0,32665.49,31,13510.31,1,17,0
0,37417.01,50,43311.02,5,10,0
0,19462.99,31,107663.06,4,9,0
1,40452.99,59,29229.24,1,15,0
1,45591.1,63,42838.97,3,10,0
1,47279.25,56,29915.16,5,16,0
0,36851.72,42,43266.24,2,13,0
0,36744.41,62,30542.84,3,16,0
1,56794.97,55,151512.86,2,17,1
1,41537.84,36,48457.82,1,12,0
0,20977.81,30,37360.09,2,8,0
1,55504.98,38,44418.12,4,13,0
0,46015.81,45,39025.87,4,11,0
1,50391.87,38,88968.7,3,12,0
1,57650.04,28,24129.03,5,16,0
0,26199.04,50,22585.58,3,10,0
0,34153.72,26,51277.96,5,17,0
0,24299.38,47,32428.96,5,9,0
1,28535.43,61,25143.33,5,8,0
0,31577.99,36,11970.62,4,13,0
0,40155.31,48,36357.96,5,14,0
1,51058.11,39,25845.65,1,10,0
0,34651.74,55,70251.54,1,8,1
0,45139.03,63,19096.51,1,15,0
1,48109.99,63,47104.63,2,16,0
1,33199.1,32,35684.52,3,13,1
1,53851.21,52,24507.86,3,16,0
1,40976.61,35,79581.46,4,10,0
0,35643.19,27,88752.61,1,11,0
0,30970.25,53,30861.32,1,11,0
0,30519.38,42,32683.17,3,9,0
1,50218.88,50,10536.7,2,16,1
0,32236.92,30,64820.03,2,12,0
0,41340.88,61,34070.72,5,14,0
1,66210.36,44,75150.5,1,15,0
1,42636.45,55,28942.84,5,9,0
1,52804.52,26,52380.97,1,10,1
1,45061.74,42,49524.91,3,14,0
1,37695.93,58,51179.29,4,9,0
0,46216.54,50,29009.21,4,17,0
1,32135.54,35,25491.44,5,15,0
0,25645.53,31,19182.81,2,9,0
0,22891.14,48,42398.02,3,12,0
0,43367.16,34,22732.17,4,16,0
1,69223.97,55,51042.59,2,14,0
0,9732.42,58,11939.77,5,8,0
1,46860.63,49,84579.83,5,14,1
1,31653.71,48,51477.47,3,13,1
1,61057.62,47,39191.39,1,17,0
0,25133.34,45,23410.16,1,12,0
0,19257.33,34,22901.64,5,9,1
0,34734.4,37,28305.87,5,14,0
0,46104.41,33,55414.78,3,12,0
1,18191.79,36,42371.29,5,9,0
1,51652.87,40,47853.03,5,13,0
0,39994.9,52,64964.44,2,13,0
0,24183.12,43,54887.14,3,9,0
1,55919.21,38,61764.44,1,17,0
0,32250.81,53,36348.43,3,14,1
0,49272.34,58,20145.52,4,15,0
1,41566.46,40,86786.15,1,13,0
1,51008.66,63,82299.2,4,11,0
0,21306.39,58,13423.56,4,12,1
0,39879.43,25,32724.14,2,8,0
1,75234.19,54,151178.58,1,13,0
1,58849.92,50,81065.83,3,14,1
1,47035.06,53,70626.83,1,11,1
1,48221.27,44,9463.41,4,17,0
1,64270.08,64,30092.68,5,14,0
1,52135.87,34,23693.39,4,17,1
0,37025.52,58,35210.33,4,10,1
0,28832.58,52,35485.78,4,8,0
0,29822.67,26,69809.5,3,9,0
0,46241.51,40,27304.29,3,13,0
0,43393.29,33,32912.58,5,16,0
0,40396.88,52,21358.54,1,15,0
0,27844.96,32,15288.62,2,9,1
1,34351.89,28,46320.46,1,9,1
1,46457.84,49,71498.95,2,9,0
0,24680.45,27,36307.54,5,12,1
1,33416.54,56,86367.74,1,9,0
1,43650.16,56,28661.82,3,8,1
0,32744.17,37,50735.12,1,16,0
0,13058.33,29,10888.25,1,10,0
1,51601.94,44,45711.71,3,14,1
1,45207.69,45,105346.47,4,15,0
0,30320.33,37,24018.41,1,12,1
1,63397.45,43,49398.26,2,16,0
0,34639.37,63,46597.97,3,13,1
1,47623.6,60,30455.25,5,10,1
1,48109.92,38,42141.45,1,15,0
0,36949.99,35,32547.83,3,10,0
1,48769.02,42,23724.54,1,10,0
1,49764.72,61,36036.58,3,17,0
0,29123.61,32,30515.19,4,14,0
1,60695.29,59,38577.56,2,17,0
0,37444.82,46,9486.33,1,17,1
1,47920.81,56,28558.54,2,11,0
1,47345.63,50,69770.81,2,14,0
1,49453.53,60,54573.16,2,12,1
1,58449.02,49,75687.68,5,14,0
0,54716.77,55,35157.2,4,14,1
1,27096.74,34,68077.55,3,12,1
1,49449.59,62,97759.23,1,11,1
0,23307.96,29,27651.83,5,10,0
0,33616.45,41,34450.09,5,15,0
1,51881.09,60,218628.66,3,8,1
1,36826.74,50,27760.2,3,14,0
1,32384.42,50,11802.35,5,12,0
1,35465.25,64,94194.31,4,9,0
1,41064.83,63,40543.36,1,8,0
0,27766.28,43,15049.49,2,10,0
1,61339.54,53,17159.65,3,15,1
1,41716.63,58,46052.13,3,13,0
0,33108.47,25,15817.15,3,9,0
0,40601.02,45,22661.0,5,13,0
1,43029.39,54,15275.27,4,14,1
0,48656.05,58,38755.36,5,17,1
0,39323.89,27,35571.32,1,9,0
0,27975.1,57,12351.43,3,15,1
1,58638.11,45,91425.18,4,15,0
1,38895.45,34,20032.84,2,12,0
0,46130.21,59,28225.8,4,14,1
0,44495.95,38,128709.96,1,14,0
1,57862.43,55,32288.17,3,15,0
1,56188.48,61,26295.28,3,9,0
0,32607.74,28,25696.56,2,13,0
0,37471.34,50,59590.76,3,8,0
0,54110.29,60,25584.15,5,16,0
1,56339.38,63,10852.95,3,10,1
1,38761.16,34,16406.29,1,11,0
0,19607.83,50,24474.46,3,9,0
0,27071.13,32,32714.95,1,10,1
0,22471.11,42,13680.8,3,13,0
0,50259.96,46,39148.1,4,17,0
0,49650.5,58,26713.17,4,17,0
1,50759.58,36,18941.33,5,14,0
1,33121.22,41,30364.73,4,9,1
1,61645.64,55,112717.9,4,15,0
1,38882.04,32,28912.06,2,13,0
1,46057.68,35,32687.17,3,17,0
0,32445.48,28,60111.66,1,10,0
0,32303.94,59,31713.89,4,8,0
