promo_applied,spend_90d,tenure_months,past_purchases,age
1,77.32,23,3,26
0,72.49,34,2,31
1,109.56,34,3,57
1,82.86,28,0,39
0,103.19,6,17,21
1,65.79,25,6,42
1,71.1,23,3,42
1,92.29,47,2,44
1,85.39,35,3,42
1,108.71,47,1,59
1,94.42,31,2,26
0,61.14,1,2,22
1,103.39,46,3,32
0,87.43,8,1,27
1,86.84,43,9,43
0,107.79,1,10,62
1,86.88,20,1,55
1,125.4,44,4,41
1,105.34,17,4,48
0,81.91,20,13,22
0,106.75,29,4,61
0,56.7,9,4,38
0,103.28,17,11,54
0,37.32,11,2,23
0,93.58,7,6,29
1,128.64,40,5,24
0,67.65,8,1,32
0,88.83,6,2,45
1,68.19,25,10,23
1,116.57,45,7,37
0,121.28,14,4,56
0,88.75,23,8,37
0,40.34,33,2,19
1,135.26,32,1,52
0,140.19,2,10,59
1,114.91,42,0,48
0,94.74,8,2,31
1,132.57,46,1,46
0,52.09,22,3,23
0,66.95,46,2,62
0,69.88,10,2,18
0,98.69,1,7,55
0,85.94,23,9,21
0,53.84,10,2,28
1,70.03,5,4,30
0,117.23,13,16,41
0,87.74,10,1,41
1,119.3,44,1,64
1,110.55,34,9,57
1,88.1,11,7,28
1,163.46,44,13,24
1,86.0,17,1,22
1,103.0,23,8,53
0,67.85,12,1,53
1,111.18,45,3,33
1,70.72,24,8,26
1,125.45,22,2,36
0,103.1,37,13,48
0,99.27,9,12,43
0,61.1,1,3,48
0,81.41,40,7,46
0,91.18,39,8,28
1,132.25,45,5,63
1,69.75,19,5,50
0,100.94,43,1,36
1,67.62,10,3,31
1,103.85,17,8,60
1,121.66,45,2,47
1,185.87,43,9,58
0,89.27,9,9,42
1,121.33,36,9,30
0,105.91,1,9,24
0,64.52,43,4,21
1,129.93,46,4,34
1,175.76,41,11,55
1,123.21,40,2,32
0,129.44,11,10,63
0,75.2,23,17,44
0,65.63,16,6,18
1,115.28,36,7,62
1,57.56,13,1,27
1,92.51,3,12,38
0,98.94,11,10,46
1,104.49,31,5,45
1,87.1,7,2,57
1,79.19,26,1,46
1,149.46,47,8,37
1,127.64,14,20,18
0,77.2,12,5,36
0,64.33,13,3,22
0,73.89,10,3,32
0,96.0,18,5,18
1,99.18,2,11,57
1,128.84,34,17,22
1,94.81,37,2,47
0,75.22,15,4,46
0,92.2,29,4,45
1,100.4,47,1,45
1,95.37,40,8,46
0,98.46,6,9,20
1,99.76,29,3,50
1,105.48,5,11,38
0,83.28,1,2,20
1,110.93,33,6,46
1,114.72,45,1,28
0,50.88,26,4,36
0,98.26,3,4,32
0,39.18,6,1,22
1,95.25,29,2,38
1,91.78,42,1,19
0,81.89,8,1,41
1,143.27,46,1,23
1,117.6,26,3,56
0,54.43,10,4,30
1,96.48,44,2,55
0,74.01,14,2,43
0,112.88,14,7,59
1,104.94,41,6,24
0,88.63,3,17,25
0,95.58,7,2,62
1,147.93,19,3,64
0,79.59,21,2,56
1,148.66,47,4,51
0,37.55,21,1,55
0,105.75,16,4,59
1,84.77,16,1,62
1,204.1,45,7,40
0,103.79,19,4,52
1,124.06,35,6,37
1,133.67,47,2,24
0,96.4,15,4,60
0,93.44,3,5,30
1,92.24,29,9,43
1,59.91,2,9,30
1,110.71,24,3,44
0,121.93,38,12,55
0,30.2,47,0,18
1,171.31,46,16,41
1,93.83,39,6,27
1,124.36,43,5,64
1,78.47,29,0,47
0,84.37,44,5,41
0,37.9,1,5,31
0,102.4,11,7,38
0,88.75,9,10,46
0,78.96,29,2,22
1,97.58,30,2,50
0,89.1,14,3,34
0,77.36,12,8,55
0,71.83,41,1,25
0,45.61,13,4,46
0,30.92,30,4,27
0,94.21,20,3,61
1,125.5,45,6,40
1,82.72,23,4,21
1,129.74,35,12,55
1,165.24,42,5,38
0,57.35,13,1,28
0,71.06,25,1,57
1,107.31,44,7,35
1,131.21,32,20,54
0,85.89,15,4,21
1,83.54,46,0,37
0,37.52,18,1,40
1,110.42,30,5,26
1,108.9,12,6,49
1,151.98,45,10,53
1,77.11,17,5,35
0,84.08,23,14,38
0,61.04,10,13,28
1,52.49,16,1,37
1,84.73,34,2,57
1,66.57,25,6,19
0,81.55,11,3,63
1,82.12,33,2,31
0,82.43,27,2,21
0,56.29,37,2,58
0,63.19,21,12,22
1,86.64,30,1,36
1,98.43,11,7,20
1,91.86,10,19,44
1,91.1,7,5,59
0,104.11,11,10,53
0,69.9,6,4,51
1,81.06,15,3,46
0,128.17,2,9,41
1,86.99,12,2,39
0,48.33,44,1,46
0,40.16,38,3,50
1,55.97,8,16,36
0,124.45,25,31,30
0,62.48,15,4,40
1,97.31,43,0,35
1,110.32,23,6,60
1,119.65,31,5,54
1,121.74,35,4,56
1,87.4,46,3,30
1,96.08,18,5,48
1,67.54,13,3,31
1,128.64,44,3,46
1,78.15,12,7,31
1,77.52,21,3,51
1,99.16,38,5,55
1,122.7,33,8,40
1,35.96,13,2,54
0,71.17,3,15,20
1,133.42,47,7,46
0,112.54,24,3,62
1,136.85,38,9,41
0,73.39,8,1,48
0,72.75,28,2,27
0,74.0,38,1,46
1,125.67,31,10,64
1,137.86,40,1,58
1,98.9,27,3,22
0,65.83,23,14,54
1,86.58,31,3,21
1,110.82,41,4,46
0,55.43,6,1,42
1,77.07,29,4,49
0,82.17,39,5,34
1,85.54,9,4,41
1,95.32,10,16,42
0,72.16,1,13,49
1,156.98,6,25,42
1,130.91,42,1,53
1,116.64,32,1,57
1,126.4,29,2,43
0,93.67,6,9,46
1,145.49,35,5,64
0,83.86,5,2,53
0,48.85,33,1,36
1,156.86,24,24,25
0,38.66,18,3,20
1,120.48,38,2,55
1,67.26,28,4,47
1,130.64,13,4,59
0,100.02,40,13,41
0,53.89,4,7,19
0,92.94,43,1,64
0,106.05,34,5,62
1,117.19,47,7,48
1,160.67,33,27,32
1,108.28,36,3,61
0,69.78,17,1,55
1,89.65,24,3,61
0,89.92,5,1,39
0,125.96,35,13,22
0,103.19,28,6,62
0,100.22,6,18,34
1,78.1,32,6,33
1,192.58,23,28,47
1,64.27,15,1,64
0,54.55,6,3,22
0,98.77,6,18,44
0,142.73,9,13,27
1,51.72,25,3,25
0,129.1,8,9,55
0,85.4,12,6,30
0,99.53,34,4,29
0,113.78,44,1,33
1,126.82,47,3,53
0,77.1,19,3,50
0,74.58,23,5,34
0,84.12,8,0,56
1,115.69,42,9,57
1,97.54,20,6,48
1,88.14,34,6,19
1,103.62,44,0,44
0,90.68,27,3,34
1,100.25,25,3,54
1,108.57,42,4,42
1,115.35,42,2,32
1,89.36,42,3,43
0,108.88,27,5,53
1,102.96,36,5,42
0,84.68,29,2,53
1,130.82,27,1,53
1,119.7,35,1,62
1,180.04,26,11,54
0,76.48,11,8,45
0,51.61,19,2,37
0,77.85,42,3,39
0,78.39,9,9,48
1,123.11,35,4,57
1,106.79,44,6,23
0,100.05,5,10,20
0,45.7,43,15,24
1,106.2,29,3,60
1,82.66,11,3,49
1,111.64,44,5,39
0,43.82,15,2,29
0,42.66,39,5,22
0,90.71,17,10,39
0,66.53,10,1,19
1,118.12,44,6,60
1,148.65,17,25,29
1,83.09,41,2,40
1,69.49,19,3,33
1,104.55,46,0,31
0,113.59,19,7,28
0,77.78,47,9,36
1,152.28,37,18,37
1,95.9,31,2,56
0,94.36,7,1,28
0,109.15,7,17,38
1,144.15,35,13,63
0,68.55,3,6,62
1,75.86,35,1,57
1,100.03,27,2,32
0,85.35,26,5,41
0,81.21,26,9,54
0,94.44,38,4,63
0,67.9,22,6,50
1,71.71,6,11,59
1,104.5,44,1,37
1,110.14,25,2,26
0,86.06,25,3,62
0,75.41,25,6,29
0,102.79,8,5,61
0,118.91,39,6,51
1,121.94,33,2,36
1,66.98,12,3,18
0,66.11,9,7,23
1,58.75,4,11,55
1,153.29,39,4,53
1,143.44,39,5,34
1,109.95,36,4,61
1,125.56,37,1,64
0,124.81,13,9,56
0,82.74,37,1,51
0,110.42,31,8,45
0,74.74,16,2,49
0,55.37,11,5,59
0,119.22,33,12,38
0,77.38,5,1,48
0,77.43,8,3,54
0,93.55,34,10,20
0,55.62,35,3,29
1,137.47,26,13,42
0,122.27,37,2,52
1,52.22,27,4,20
1,66.16,11,2,27
0,64.32,18,2,31
1,82.75,21,2,29
0,71.66,38,9,28
1,118.23,40,10,26
1,156.37,33,10,40
0,83.14,34,2,25
1,100.61,39,3,18
1,116.21,41,6,18
1,112.83,5,3,44
0,58.66,17,8,36
1,99.78,34,6,29
1,103.36,15,2,41
1,122.73,35,3,18
0,90.88,11,13,39
0,108.33,42,14,52
1,109.3,15,5,48
0,40.46,2,3,27
1,138.35,42,7,28
0,54.82,27,6,20
1,211.42,42,40,50
1,133.63,27,12,38
1,60.57,18,7,21
1,51.97,1,5,56
0,84.26,17,3,19
1,80.73,32,6,19
1,55.32,35,2,25
1,139.92,26,4,52
1,117.82,23,12,42
0,68.12,20,4,35
0,64.71,14,4,64
0,100.48,22,10,50
0,78.06,27,1,52
0,39.72,29,4,21
1,84.23,29,2,18
1,150.07,27,18,52
1,156.94,24,33,51
1,61.97,28,5,55
0,74.19,27,7,26
1,119.3,20,4,59
0,77.7,43,1,56
0,123.71,27,16,34
0,99.28,13,4,58
0,81.29,10,0,53
1,119.57,31,5,63
0,44.09,45,5,37
1,146.48,47,1,52
1,128.13,36,5,49
1,93.83,40,4,20
1,112.77,41,5,61
0,52.63,7,4,50
0,103.84,21,20,42
1,88.89,27,3,59
0,98.66,18,12,38
1,82.46,28,2,63
0,69.44,2,4,20
1,116.15,27,6,61
1,108.99,30,3,26
1,74.05,8,4,37
1,97.98,25,9,24
1,149.8,47,8,21
1,105.49,27,1,35
1,59.38,7,1,27
0,86.52,8,8,22
1,114.21,41,2,31
0,106.04,29,5,48
1,108.17,14,0,61
0,44.39,15,1,27
0,54.5,16,4,34
0,57.0,19,13,38
0,102.94,22,4,50
1,88.27,33,1,52
0,68.09,9,2,52
1,77.89,42,1,21
1,155.57,30,23,49
0,120.63,22,5,40
0,102.79,7,6,56
0,99.16,11,10,59
0,104.98,25,3,60
0,76.37,21,1,45
0,65.14,17,2,30
0,60.17,26,4,20
1,82.13,29,4,55
1,90.28,35,3,60
1,134.69,33,18,57
1,99.15,25,1,41
1,108.22,42,3,45
0,58.91,26,3,45
0,31.32,12,1,20
0,66.39,26,1,22
0,105.59,30,20,19
0,103.62,37,5,33
0,106.46,7,5,61
0,67.37,42,0,47
1,130.55,30,21,46
1,110.16,45,3,43
1,154.68,46,10,28
1,156.34,47,16,36
0,79.55,33,11,31
1,91.67,40,2,29
1,95.56,27,14,19
1,68.91,28,3,35
0,96.35,35,11,33
0,86.79,3,3,46
0,89.45,39,7,48
1,93.83,19,1,18
0,81.22,9,4,60
0,131.99,7,35,57
1,124.68,46,1,29
1,122.02,21,7,64
0,63.09,14,1,27
1,125.4,35,8,29
1,128.07,28,10,45
0,78.4,10,13,24
0,78.07,20,13,32
0,91.49,29,6,58
0,92.83,19,5,62
0,84.62,41,1,51
0,55.88,8,4,36
0,50.07,24,1,49
1,86.95,23,3,62
0,91.26,5,8,63
1,129.04,44,9,63
1,121.47,47,3,50
0,87.29,11,6,46
0,47.32,5,2,47
1,154.34,44,14,60
1,125.71,40,1,53
1,82.3,39,3,29
0,87.28,17,0,42
1,157.56,27,18,64
1,86.92,5,1,29
0,95.4,44,13,34
1,105.79,25,2,18
1,82.65,34,3,40
0,129.83,3,19,56
1,119.2,23,2,48
1,106.02,26,6,45
1,62.76,6,0,42
0,68.33,32,8,35
1,155.93,40,3,54
0,86.46,34,3,61
1,98.92,20,0,27
0,96.61,43,1,28
0,50.87,14,3,44
1,122.55,36,8,18
0,53.1,38,2,45
1,131.0,40,8,41
0,71.8,4,5,44
1,98.82,44,1,29
1,119.12,35,6,56
1,89.13,33,5,39
0,112.4,40,13,43
1,95.85,40,1,44
0,76.64,16,2,53
0,62.89,18,4,45
1,91.8,1,6,38
0,21.6,8,2,20
0,65.19,11,11,40
0,67.26,37,1,34
1,113.13,16,11,50
0,106.13,7,3,25
0,102.05,8,12,59
0,95.42,14,2,22
0,27.32,14,2,31
0,85.35,10,5,52
0,57.88,7,6,37
0,82.92,18,7,52
0,52.22,16,2,20
0,88.01,24,8,39
0,95.86,18,4,39
0,89.44,25,3,60
1,34.69,2,3,40
0,113.86,10,3,36
0,51.46,7,3,41
0,103.08,7,1,61
1,37.61,26,4,63
0,59.17,12,3,56
1,104.54,19,3,43
1,93.39,18,7,60
0,90.02,4,2,53
0,75.2,14,1,21
1,45.06,21,1,46
1,107.78,17,7,35
0,56.52,3,6,29
1,89.34,25,10,41
0,124.74,3,7,29
0,111.79,15,1,63
0,123.33,8,1,46
1,101.39,12,2,60
1,128.64,36,3,29
0,81.12,24,2,29
1,104.38,15,7,18
1,67.65,23,4,25
1,130.18,36,10,22
1,96.9,28,7,20
1,98.96,23,3,22
0,87.93,12,7,33
0,154.57,39,25,23
1,79.4,18,2,40
1,61.63,16,0,48
0,68.17,45,2,19
0,106.03,8,1,43
0,54.66,7,5,37
0,90.47,38,7,35
1,69.56,29,6,27
0,79.11,19,2,52
1,81.8,35,3,47
0,129.31,41,5,34
0,41.42,1,3,29
0,84.62,30,4,40
0,104.74,12,3,51
1,108.57,37,3,39
1,113.82,18,1,55
0,77.61,6,1,42
0,81.47,7,9,50
1,145.17,36,1,58
0,59.76,11,1,20
0,76.1,16,9,43
1,102.27,38,2,58
0,80.44,18,5,51
1,113.28,45,6,18
0,74.95,23,5,44
1,122.95,46,2,51
0,101.35,28,5,27
1,97.22,21,2,28
1,127.33,47,2,54
0,84.21,17,2,48
1,107.6,39,4,52
1,123.4,2,21,41
1,103.19,22,2,46
0,96.83,11,20,23
0,97.05,38,4,56
1,117.07,45,5,47
0,52.03,40,4,25
1,46.72,19,2,41
0,64.41,12,5,57
1,121.1,39,4,55
0,105.95,32,16,64
0,75.63,35,4,19
0,98.98,18,1,53
1,105.05,47,3,32
1,118.71,22,6,45
0,60.36,46,7,49
1,95.67,41,3,52
0,105.74,4,15,47
1,22.45,2,1,46
1,139.6,34,2,37
0,80.13,9,22,21
0,54.81,9,17,31
1,80.14,2,2,28
1,303.89,46,64,45
0,79.49,10,15,19
0,95.33,5,5,31
0,78.01,19,2,62
0,50.63,2,1,40
0,74.81,10,3,43
0,86.29,6,7,40
0,79.21,13,3,25
1,117.09,47,4,20
1,131.59,38,7,52
1,60.26,10,0,64
1,136.23,46,4,51
1,112.11,31,4,29
1,68.63,33,3,24
0,93.83,10,5,40
1,93.96,20,5,60
0,104.99,20,5,60
0,89.3,13,2,30
0,104.43,7,5,41
0,110.2,41,7,27
1,134.53,45,3,33
0,84.42,12,7,26
1,71.48,24,5,32
1,111.86,28,9,58
0,45.6,10,6,60
1,66.93,2,3,37
0,53.3,21,2,27
0,126.72,2,14,38
0,91.07,8,14,47
0,78.26,33,3,19
1,101.22,47,2,44
1,116.28,36,11,29
0,48.45,14,2,36
1,135.71,42,11,57
1,62.65,23,2,21
0,91.49,39,7,50
0,58.33,21,5,46
0,86.47,4,11,35
0,105.08,13,2,60
0,65.44,9,0,62
0,117.85,11,3,62
0,51.94,17,6,49
1,126.19,39,2,63
1,124.65,27,4,53
1,62.68,13,1,60
1,93.75,37,1,31
0,51.76,9,7,53
1,129.45,36,0,42
0,127.57,16,13,30
1,137.26,42,5,37
1,139.29,47,5,57
0,91.02,18,6,19
1,142.56,42,7,46
0,87.22,30,10,24
1,97.84,41,6,61
0,70.18,14,6,48
1,91.48,43,2,38
0,58.78,13,10,40
1,137.51,33,2,39
0,133.74,11,25,32
0,76.37,26,3,36
1,98.12,33,4,36
0,98.91,21,5,39
1,139.22,29,4,34
0,116.61,1,6,63
1,59.23,11,1,61
0,93.2,22,2,33
1,139.1,44,7,46
1,80.83,12,7,58
1,125.2,41,9,57
0,86.49,20,3,35
0,184.72,26,57,49
1,154.92,45,5,52
1,97.83,33,3,19
0,64.67,25,4,37
0,113.66,30,5,55
0,33.99,3,2,18
0,87.3,36,2,19
0,85.11,20,20,30
1,130.49,45,2,49
1,110.41,22,6,18
1,154.96,6,31,39
0,49.63,42,3,33
0,83.34,6,4,35
1,75.68,28,2,42
0,86.5,31,3,22
1,44.66,3,4,54
1,131.19,45,3,36
0,104.22,7,6,47
1,130.49,25,15,21
1,161.86,44,5,45
0,114.01,37,29,25
1,140.4,44,5,18
0,42.66,2,3,18
1,64.4,11,4,19
1,123.2,35,8,43
1,105.6,39,5,34
1,95.75,31,3,63
1,109.7,23,3,39
0,20.49,43,1,23
0,99.57,38,7,50
1,129.66,34,5,60
1,59.61,13,5,42
1,74.51,24,2,20
0,86.82,44,10,29
1,139.08,21,10,47
1,86.96,34,0,49
1,160.39,32,11,62
1,79.9,34,2,38
0,121.89,15,16,26
1,136.92,40,6,40
0,49.78,10,6,50
1,91.62,21,2,64
1,32.9,6,4,47
1,94.29,43,0,29
0,93.03,34,4,33
1,94.29,10,3,37
0,57.68,36,10,20
1,146.37,41,9,59
0,75.18,22,7,32
1,141.26,40,15,44
0,64.75,4,6,23
1,148.44,43,10,51
0,75.56,22,1,38
1,170.4,31,8,59
0,46.53,16,1,54
0,76.05,4,3,40
1,115.17,30,3,53
0,56.65,2,2,34
0,91.82,42,5,58
0,78.56,22,6,39
1,129.12,30,7,51
1,109.66,44,4,34
